"million env steps","PRETRAIN_FINAL_RUN - _step","PRETRAIN_FINAL_RUN - _step__MIN","PRETRAIN_FINAL_RUN - _step__MAX","PRETRAIN_FINAL_RUN - particle reward unnormalized","PRETRAIN_FINAL_RUN - particle reward unnormalized__MIN","PRETRAIN_FINAL_RUN - particle reward unnormalized__MAX"
"0.00152","2","2","2","0.03457712382078171","0.03457712382078171","0.03457712382078171"
"0.005104","229","229","229","0.00046348158502951264","0.00046348158502951264","0.00046348158502951264"
"0.008688","472","472","472","0.00017896878125611693","0.00017896878125611693","0.00017896878125611693"
"0.01432","840","840","840","0.00031060416949912906","0.00031060416949912906","0.00031060416949912906"
"0.055792","3603","3603","3603","0.0002990579232573509","0.0002990579232573509","0.0002990579232573509"
"0.06552","4249","4249","4249","0.0002728535619098693","0.0002728535619098693","0.0002728535619098693"
"0.10136","6630","6630","6630","0.0006502117030322552","0.0006502117030322552","0.0006502117030322552"
"0.145392","9557","9557","9557","0.0007300428696908057","0.0007300428696908057","0.0007300428696908057"
"0.148976","9795","9795","9795","0.0009470137883909047","0.0009470137883909047","0.0009470137883909047"
"0.215024","14180","14180","14180","0.005506014451384544","0.005506014451384544","0.005506014451384544"
"0.226288","14927","14927","14927","0.0056118774227797985","0.0056118774227797985","0.0056118774227797985"
"0.230896","15234","15234","15234","0.004532370250672102","0.004532370250672102","0.004532370250672102"
"0.322032","21268","21268","21268","0.007491570897400379","0.007491570897400379","0.007491570897400379"
"0.334832","22115","22115","22115","0.007650020066648722","0.007650020066648722","0.007650020066648722"
"0.33688","22250","22250","22250","0.009563876315951347","0.009563876315951347","0.009563876315951347"
"0.369648","24420","24420","24420","0.011776422150433064","0.011776422150433064","0.011776422150433064"
"0.473584","31300","31300","31300","0.013031319715082645","0.013031319715082645","0.013031319715082645"
"0.478192","31605","31605","31605","0.014232057146728039","0.014232057146728039","0.014232057146728039"
"0.484848","32046","32046","32046","0.014877477660775185","0.014877477660775185","0.014877477660775185"
"0.527344","34860","34860","34860","0.015199626795947552","0.015199626795947552","0.015199626795947552"
"0.577008","38146","38146","38146","0.018552489578723907","0.018552489578723907","0.018552489578723907"
"0.583664","38588","38588","38588","0.01717078872025013","0.01717078872025013","0.01717078872025013"
"0.631792","41776","41776","41776","0.022312253713607788","0.022312253713607788","0.022312253713607788"
"0.649712","42961","42961","42961","0.017299529165029526","0.017299529165029526","0.017299529165029526"
"0.65688","43436","43436","43436","0.023265773430466652","0.023265773430466652","0.023265773430466652"
"0.665584","44009","44009","44009","0.02523741126060486","0.02523741126060486","0.02523741126060486"
"0.7004","46316","46316","46316","0.021083800122141838","0.021083800122141838","0.021083800122141838"
"0.729072","48214","48214","48214","0.021262310445308685","0.021262310445308685","0.021262310445308685"
"0.746992","49400","49400","49400","0.016075262799859047","0.016075262799859047","0.016075262799859047"
"0.755696","49977","49977","49977","0.02178063802421093","0.02178063802421093","0.02178063802421093"
"0.762864","50454","50454","50454","0.020187854766845703","0.020187854766845703","0.020187854766845703"
"0.763376","50488","50488","50488","0.020639562979340553","0.020639562979340553","0.020639562979340553"
"0.773616","51164","51164","51164","0.02779477648437023","0.02779477648437023","0.02779477648437023"
"0.775664","51301","51301","51301","0.028529852628707886","0.028529852628707886","0.028529852628707886"
"0.776176","51334","51334","51334","0.022882435470819473","0.022882435470819473","0.022882435470819473"
"0.783856","51842","51842","51842","0.024007292464375496","0.024007292464375496","0.024007292464375496"
"0.803824","53161","53161","53161","0.02436421625316143","0.02436421625316143","0.02436421625316143"
